15:39:50.929 place-ship: size=4 pos=(2,5) dir=horizontal
15:39:50.929 place-ship: size=3 pos=(7,1) dir=horizontal
15:39:50.929 place-ship: size=3 pos=(4,9) dir=horizontal
15:39:50.929 place-ship: size=2 pos=(2,1) dir=vertical
15:39:50.929 place-ship: size=2 pos=(0,4) dir=vertical
15:39:50.929 place-ship: size=2 pos=(8,9) dir=horizontal
15:39:50.930 place-ship: size=1 pos=(2,9) dir=vertical
15:39:50.930 place-ship: size=1 pos=(4,0) dir=horizontal
15:39:50.930 place-ship: size=1 pos=(9,4) dir=vertical
15:39:50.930 place-ship: size=1 pos=(2,7) dir=horizontal
15:39:50.930 shot: pos=(8,3) result=miss
15:39:50.931 enemy-shot: pos=(7,5) result=miss
15:39:50.931 shot: pos=(9,1) result=miss
15:39:50.931 enemy-shot: pos=(5,9) result=hit
15:39:50.931 shot: pos=(7,5) result=miss
15:39:50.931 enemy-shot: pos=(2,8) result=miss
15:39:50.931 shot: pos=(4,7) result=miss
15:39:50.931 enemy-shot: pos=(5,7) result=miss
15:39:50.932 shot: pos=(2,5) result=hit
15:39:50.932 enemy-shot: pos=(1,0) result=miss
15:39:50.932 shot: pos=(8,5) result=hit
15:39:50.932 enemy-shot: pos=(2,1) result=hit
15:39:50.932 shot: pos=(6,4) result=miss
15:39:50.932 enemy-shot: pos=(3,1) result=miss
15:39:50.932 shot: pos=(0,0) result=miss
15:39:50.933 enemy-shot: pos=(1,1) result=miss
15:39:50.933 shot: pos=(8,1) result=miss
15:39:50.933 enemy-shot: pos=(1,4) result=miss
15:39:50.933 shot: pos=(1,3) result=sunk ship-size=1
15:39:50.933 enemy-shot: pos=(3,6) result=miss
15:39:50.933 shot: pos=(2,0) result=miss
15:39:50.933 enemy-shot: pos=(9,0) result=miss
15:39:50.933 shot: pos=(3,5) result=miss
15:39:50.934 enemy-shot: pos=(6,1) result=miss
15:39:50.934 shot: pos=(1,1) result=hit
15:39:50.934 enemy-shot: pos=(1,7) result=miss
15:39:50.934 shot: pos=(2,6) result=hit
15:39:50.934 enemy-shot: pos=(6,3) result=miss
15:39:50.934 shot: pos=(1,4) result=miss
15:39:50.934 enemy-shot: pos=(7,6) result=miss
15:39:50.934 shot: pos=(1,7) result=miss
15:39:50.934 enemy-shot: pos=(9,5) result=miss
15:39:50.935 shot: pos=(0,1) result=miss
15:39:50.935 enemy-shot: pos=(5,0) result=miss
15:39:50.935 shot: pos=(3,2) result=miss
15:39:50.935 enemy-shot: pos=(9,1) result=hit
15:39:50.935 shot: pos=(5,2) result=miss
15:39:50.935 enemy-shot: pos=(3,9) result=miss
15:39:50.935 shot: pos=(5,4) result=miss
15:39:50.935 enemy-shot: pos=(6,2) result=miss
15:39:50.936 shot: pos=(0,6) result=miss
15:39:50.936 enemy-shot: pos=(3,8) result=miss
15:39:50.936 shot: pos=(5,7) result=miss
15:39:50.936 enemy-shot: pos=(5,5) result=hit
15:39:50.936 shot: pos=(4,6) result=miss
15:39:50.936 enemy-shot: pos=(0,6) result=miss
15:39:50.936 shot: pos=(2,4) result=sunk ship-size=3
15:39:50.936 enemy-shot: pos=(5,4) result=miss
15:39:50.936 shot: pos=(1,2) result=miss
15:39:50.937 enemy-shot: pos=(4,6) result=miss
15:39:50.937 shot: pos=(9,5) result=miss
15:39:50.937 enemy-shot: pos=(8,0) result=miss
15:39:50.937 shot: pos=(7,9) result=hit
15:39:50.937 enemy-shot: pos=(8,9) result=hit
15:39:50.937 shot: pos=(7,7) result=miss
15:39:50.937 enemy-shot: pos=(1,9) result=miss
15:39:50.937 shot: pos=(3,3) result=miss
15:39:50.938 enemy-shot: pos=(1,5) result=miss
15:39:50.938 shot: pos=(9,6) result=miss
15:39:50.938 enemy-shot: pos=(2,2) result=sunk ship-size=2
15:39:50.938 shot: pos=(8,4) result=sunk ship-size=2
15:39:50.938 enemy-shot: pos=(8,2) result=miss
15:39:50.938 shot: pos=(1,5) result=miss
15:39:50.938 enemy-shot: pos=(8,3) result=miss
15:39:50.938 shot: pos=(6,3) result=miss
15:39:50.938 enemy-shot: pos=(8,6) result=miss
15:39:50.939 shot: pos=(6,1) result=miss
15:39:50.939 enemy-shot: pos=(6,8) result=miss
15:39:50.939 shot: pos=(4,8) result=miss
15:39:50.939 enemy-shot: pos=(6,9) result=hit
15:39:50.939 shot: pos=(1,8) result=miss
15:39:50.939 enemy-shot: pos=(6,4) result=miss
15:39:50.939 shot: pos=(0,5) result=miss
15:39:50.939 enemy-shot: pos=(0,2) result=miss
15:39:50.939 shot: pos=(7,4) result=miss
15:39:50.940 enemy-shot: pos=(2,4) result=miss
15:39:50.940 shot: pos=(3,4) result=miss
15:39:50.940 enemy-shot: pos=(8,1) result=hit
15:39:50.940 shot: pos=(5,5) result=hit
15:39:50.940 enemy-shot: pos=(3,4) result=miss
15:39:50.940 shot: pos=(0,9) result=miss
15:39:50.940 enemy-shot: pos=(4,2) result=miss
15:39:50.940 shot: pos=(6,0) result=miss
15:39:50.940 enemy-shot: pos=(7,0) result=miss
15:39:50.941 shot: pos=(7,6) result=miss
15:39:50.941 enemy-shot: pos=(9,4) result=sunk ship-size=1
15:39:50.941 shot: pos=(6,8) result=miss
15:39:50.941 enemy-shot: pos=(9,9) result=sunk ship-size=2
15:39:50.941 shot: pos=(6,5) result=miss
15:39:50.941 enemy-shot: pos=(0,7) result=miss
15:39:50.941 shot: pos=(2,1) result=hit
15:39:50.941 enemy-shot: pos=(2,5) result=hit
15:39:50.941 shot: pos=(3,8) result=miss
15:39:50.942 enemy-shot: pos=(4,8) result=miss
15:39:50.942 shot: pos=(9,0) result=miss
15:39:50.942 enemy-shot: pos=(2,3) result=miss
15:39:50.942 shot: pos=(4,5) result=miss
15:39:50.942 enemy-shot: pos=(8,5) result=miss
15:39:50.942 shot: pos=(4,4) result=miss
15:39:50.942 enemy-shot: pos=(6,0) result=miss
15:39:50.942 shot: pos=(7,2) result=miss
15:39:50.942 enemy-shot: pos=(7,8) result=miss
15:39:50.943 shot: pos=(6,6) result=miss
15:39:50.943 enemy-shot: pos=(1,3) result=miss
15:39:50.943 shot: pos=(7,1) result=miss
15:39:50.943 enemy-shot: pos=(4,9) result=sunk ship-size=3
15:39:50.943 shot: pos=(2,8) result=miss
15:39:50.943 enemy-shot: pos=(8,7) result=miss
15:39:50.943 shot: pos=(2,7) result=miss
15:39:50.943 enemy-shot: pos=(4,1) result=miss
15:39:50.943 shot: pos=(5,1) result=miss
15:39:50.944 enemy-shot: pos=(3,2) result=miss
15:39:50.944 shot: pos=(3,0) result=miss
15:39:50.944 enemy-shot: pos=(3,0) result=miss
15:39:50.944 shot: pos=(5,8) result=miss
15:39:50.944 enemy-shot: pos=(6,5) result=miss
15:39:50.944 shot: pos=(9,7) result=miss
15:39:50.944 enemy-shot: pos=(8,4) result=miss
15:39:50.944 shot: pos=(9,9) result=sunk ship-size=1
15:39:50.944 enemy-shot: pos=(4,0) result=sunk ship-size=1
15:39:50.944 shot: pos=(9,8) result=miss
15:39:50.945 enemy-shot: pos=(5,3) result=miss
15:39:50.945 shot: pos=(3,9) result=miss
15:39:50.945 enemy-shot: pos=(1,6) result=miss
15:39:50.945 shot: pos=(7,3) result=miss
15:39:50.945 enemy-shot: pos=(4,4) result=miss
15:39:50.945 shot: pos=(6,9) result=hit
15:39:50.945 enemy-shot: pos=(0,0) result=miss
15:39:50.945 shot: pos=(9,4) result=miss
15:39:50.945 enemy-shot: pos=(4,7) result=miss
15:39:50.945 shot: pos=(8,8) result=miss
15:39:50.946 enemy-shot: pos=(1,2) result=miss
15:39:50.946 shot: pos=(4,1) result=miss
15:39:50.946 enemy-shot: pos=(8,8) result=miss
15:39:50.946 shot: pos=(2,2) result=miss
15:39:50.946 enemy-shot: pos=(0,1) result=miss
15:39:50.946 shot: pos=(4,9) result=hit
15:39:50.946 enemy-shot: pos=(3,7) result=miss
15:39:50.946 shot: pos=(8,6) result=miss
15:39:50.946 enemy-shot: pos=(2,9) result=sunk ship-size=1
15:39:50.946 shot: pos=(8,9) result=miss
15:39:50.947 enemy-shot: pos=(9,3) result=miss
15:39:50.947 shot: pos=(3,7) result=miss
15:39:50.947 enemy-shot: pos=(7,3) result=miss
15:39:50.947 shot: pos=(9,3) result=miss
15:39:50.947 enemy-shot: pos=(0,5) result=hit
15:39:50.947 shot: pos=(5,9) result=sunk ship-size=4
15:39:50.947 enemy-shot: pos=(9,2) result=miss
15:39:50.947 shot: pos=(6,7) result=miss
15:39:50.947 enemy-shot: pos=(7,1) result=sunk ship-size=3
15:39:50.947 shot: pos=(9,2) result=miss
15:39:50.948 enemy-shot: pos=(7,2) result=miss
15:39:50.948 shot: pos=(5,6) result=sunk ship-size=2
15:39:50.948 enemy-shot: pos=(5,2) result=miss
15:39:50.948 shot: pos=(8,0) result=hit
15:39:50.948 enemy-shot: pos=(5,1) result=miss
15:39:50.948 shot: pos=(4,3) result=miss
15:39:50.948 enemy-shot: pos=(9,7) result=miss
15:39:50.948 shot: pos=(4,2) result=miss
15:39:50.948 enemy-shot: pos=(1,8) result=miss
15:39:50.948 shot: pos=(0,2) result=miss
15:39:50.949 enemy-shot: pos=(2,6) result=miss
15:39:50.949 shot: pos=(2,9) result=miss
15:39:50.949 enemy-shot: pos=(7,4) result=miss
15:39:50.949 shot: pos=(7,8) result=miss
15:39:50.949 enemy-shot: pos=(9,8) result=miss
15:39:50.949 shot: pos=(3,1) result=sunk ship-size=3
15:39:50.949 enemy-shot: pos=(2,0) result=miss
15:39:50.949 shot: pos=(6,2) result=miss
15:39:50.949 enemy-shot: pos=(7,7) result=miss
15:39:50.949 shot: pos=(8,7) result=sunk ship-size=1
15:39:50.949 enemy-shot: pos=(6,7) result=miss
15:39:50.950 shot: pos=(7,0) result=sunk ship-size=2
15:39:50.950 enemy-shot: pos=(4,5) result=hit
15:39:50.950 shot: pos=(2,3) result=miss
15:39:50.950 enemy-shot: pos=(3,5) result=sunk ship-size=4
15:39:50.950 shot: pos=(1,0) result=miss
15:39:50.950 enemy-shot: pos=(3,3) result=miss
15:39:50.950 shot: pos=(8,2) result=miss
15:39:50.950 enemy-shot: pos=(5,6) result=miss
15:39:50.950 shot: pos=(0,8) result=miss
15:39:50.950 enemy-shot: pos=(0,4) result=sunk ship-size=2
15:39:50.950 shot: pos=(0,4) result=miss
